,100,375,650,815,1035,1325,2200,3500,6500,15000,Mean
Baseline ANN + SGD Train,0.5477250218391418,0.6967833638191223,0.693629264831543,0.7232331037521362,0.6792588233947754,0.6846337914466858,0.69563889503479,0.7258586883544922,0.6939510107040405,0.7007175087928772,0.6841429471969604
Baseline ANN + SGD + Momentum Train,0.1018961444497108,0.1991527229547501,0.2105109989643097,0.2206151336431503,0.2019543200731277,0.2120319902896881,0.2201808542013168,0.2222661077976227,0.2199792712926865,0.2170398980379105,0.20256274417042733
Expanded ANN + Adam Train,0.03393416851758957,0.1803117543458939,0.06584127247333527,0.1608502417802811,0.093891941010952,0.1283217817544937,0.09416966885328293,0.1954754441976547,0.1152451932430267,0.1651923656463623,0.12332338318228722
Expanded ANN + SGD Train,0.2796276807785034,0.5316733121871948,0.6611565351486206,0.6338537931442261,0.8066181540489197,0.6941477060317993,0.9133963584899902,1.157263398170471,0.7982982397079468,0.8740888833999634,0.7350124061107636
Baseline ANN + SGD Test,0.9147199690183249,0.7130854792392454,0.6920568386141828,0.7171037809910221,0.7604413999722284,0.6683451567419664,0.7210122294768803,0.711594796036195,0.6856043571071666,0.6935592691645138,0.7277523276361725
Baseline ANN + SGD + Momentum Test,0.3825986712014244,0.2753550227881055,0.2543272207312079,0.2331204961751172,0.2402506868477367,0.252116087247987,0.2306719680530334,0.2141218041676111,0.2234371311073911,0.201418236687625,0.25074173250072396
Expanded ANN + Adam Test,0.6706287845696376,0.279177818658264,0.190066325023569,0.2376439943381335,0.2685998386333075,0.1953752952259932,0.1512566662779858,0.1971418853322691,0.1311663486859338,0.1686356168083862,0.24896925735534797
Expanded ANN + SGD Test,0.9879620835397389,0.7559742435575229,0.6953260649765673,0.6059569066886575,0.9757058000064651,0.6932935260870914,0.9563192485418667,1.164772359714278,0.753294273430757,0.8175628860535276,0.8406167392596473
Mean Option Price (Train) USD$,15.7559390057255,16.3179864250119,17.0082723622023,17.0451844446115,16.6672892074983,16.8733359702202,16.984311711826,16.8010045884217,16.6258723334082,16.3156110160328,
Mean Option Price (Test) USD$,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,14.6471141224368,
